msa_name,year,msa_no,normusaspminpop,normusasminorestab,MinorityUsasp,normusaswompop,normusaswomestab,WomanUsasp,normawardestab,normawardpop,AwardAmount,normsampop1000,normsamestab,ann_sam_registrations,normwompop1000,normwomestab,Woman,normminorpop1000,normminorest,Minority,normcdfipop10000,normcdfiestab10000,cumulativecdfi,normmdipop10000,normmdiestab10000,UnemploymentRate,UnemploymentPerCapita,AvgAverageWeeklyWage,EstablishmentCount,AvgPopulation
"Abilene, TX MSA",2019,10180,0,0,0,0,0,0,37882,930,1456820,20,1,32,50,2,78,55,2,86,,,,,,12,0,842,17229,175394
"Abilene, TX MSA",2020,10180,0,0,0,0,0,0,88647,2200,3445603,40,2,62,60,2,94,61,2,96,,,,,,22,0,884,17414,175394
"Abilene, TX MSA",2021,10180,0,0,0,0,0,0,6643,224,350972,17,0,26,34,1,54,27,1,42,,,,,,19,0,875,13315,175394
"Aguadilla-Isabela-San Sebastian, PR MSA",2019,10380,154,12102,968081,58,4590,367184,25997,330,2079610,12,1,75,31,2,194,82,6,515,,,,,,44,0,472,15361,302283
"Aguadilla-Isabela-San Sebastian, PR MSA",2020,10380,923,73258,5814929,78,6200,492128,98138,1237,7789754,18,1,111,31,2,198,92,7,580,,,,,,41,0,491,15242,302283
"Aguadilla-Isabela-San Sebastian, PR MSA",2021,10380,0,0,0,0,0,0,8585,150,943722,10,1,60,14,1,86,40,2,250,,,,,,37,0,487,11874,302283
"Akron, OH MSA",2019,10420,31,1205,76884,454,17817,1136884,1397512,35589,89175239,61,2,154,249,10,624,227,9,569,0,0,2,,,17,0,957,71469,701600
"Akron, OH MSA",2020,10420,63,2459,158593,56,2162,139457,926792,23858,59782151,99,4,247,293,11,735,258,10,646,0,0,2,,,32,0,1018,72247,701600
"Akron, OH MSA",2021,10420,85,2414,212601,210,5964,525300,31519,1108,2776184,51,1,129,147,4,368,135,4,338,,,,,,20,0,1044,55492,701600
"Albany, GA MSA",2019,10500,0,0,0,711,31459,971966,32051,724,990251,44,2,60,221,10,302,283,13,387,0,1,1,,,17,0,800,13348,147639
"Albany, GA MSA",2020,10500,0,0,0,930,39873,1271503,47063,1098,1500763,65,3,89,238,10,326,328,14,448,0,1,1,,,29,0,853,13777,147639
"Albany, GA MSA",2021,10500,22,685,30600,0,0,0,685,22,30600,33,1,45,117,4,160,147,5,201,,,,,,19,0,880,10854,147639
"Albany-Schenectady-Troy, NY MSA",2019,10580,1943,72784,2566139,2624,98289,3465353,106315,2838,3748346,155,6,205,430,16,568,300,11,396,0,0,2,,,14,0,1106,95339,892743
"Albany-Schenectady-Troy, NY MSA",2020,10580,1897,70758,2505848,2350,87633,3103458,265335,7115,9396685,211,8,279,450,17,594,338,13,446,0,0,2,,,29,0,1220,95762,892743
"Albany-Schenectady-Troy, NY MSA",2021,10580,0,0,0,100,2793,131420,20637,735,971105,98,3,129,191,5,252,140,4,185,,,,,,19,0,1259,71573,892743
"Albuquerque, NM MSA",2019,10740,254752,9582366,664250311,48228,1814064,125751086,15102792,401515,1046926715,249,9,650,866,33,2258,961,36,2507,0,1,8,,,19,0,924,97642,917819
"Albuquerque, NM MSA",2020,10740,271177,9980559,707076634,64449,2372035,168047777,19341951,525530,1370288227,320,12,834,876,32,2284,1011,37,2636,0,1,8,,,33,0,1007,99780,917819
"Albuquerque, NM MSA",2021,10740,53971,1473138,140726014,4988,136136,13004790,4147772,151961,396228511,158,4,412,396,11,1033,489,13,1274,,,,,,27,0,1014,75676,917819
"Alexandria, LA MSA",2019,10780,21,797,21200,83,3180,84594,226402,5882,6023196,85,3,87,261,10,267,183,7,187,0,1,2,,,20,0,801,15750,151554
"Alexandria, LA MSA",2020,10780,20,770,20800,854,32393,874870,1883613,49680,50873206,95,4,97,242,9,248,174,7,178,0,1,2,,,25,0,855,15990,151554
"Alexandria, LA MSA",2021,10780,0,0,0,135,3738,138373,21185,766,784230,53,1,54,89,2,91,79,2,81,,,,,,17,0,862,12328,151554
"Allentown-Bethlehem-Easton, PA-NJ MSA",2019,10900,179,7830,380383,814,35567,1727756,248820,5698,12087037,64,3,135,218,10,463,195,9,413,0,0,1,,,18,0,1014,78502,857022
"Allentown-Bethlehem-Easton, PA-NJ MSA",2020,10900,1388,60834,2944255,2049,89806,4346493,434963,9924,21051557,90,4,190,233,10,495,215,9,457,0,0,1,,,37,1,1094,78213,857022
"Allentown-Bethlehem-Easton, PA-NJ MSA",2021,10900,725,23538,1538095,725,23538,1538095,169427,5219,11071133,49,2,105,117,4,248,105,3,222,,,,,,25,0,1092,59403,857022
"Altoona, PA MSA",2019,11020,0,0,0,57,2023,107866,23091,646,1231356,18,1,34,39,1,74,13,0,24,,,,,,18,0,829,13652,122038
"Altoona, PA MSA",2020,11020,0,0,0,0,0,0,24724,694,1324079,21,1,40,33,1,62,9,0,18,,,,,,35,1,880,13710,122038
"Altoona, PA MSA",2021,11020,0,0,0,0,0,0,3078,117,222904,6,0,12,16,0,30,3,0,6,,,,,,23,0,879,10430,122038
"Amarillo, TX MSA",2019,11100,818,31914,1052916,81,3171,104614,561107,14375,18512229,57,2,73,123,5,159,71,3,91,,,,,,10,0,925,27450,267859
"Amarillo, TX MSA",2020,11100,1363,52754,1755440,80,3085,102640,222438,5748,7401814,73,3,94,144,6,186,63,2,81,,,,,,20,0,977,27686,267859
